name,lat,lng
서울특별시 강남구 청담동,37.524611,127.050478
서울특별시 강남구 대치2동,37.500575,127.066415
서울특별시 강남구 개포2동,37.486477,127.067635
서울특별시 송파구 풍납1동,37.538239,127.1143
서울특별시 송파구 풍납2동,37.52985,127.110127
서울특별시 송파구 거여1동,37.494386,127.141676
서울특별시 송파구 거여2동,37.492375,127.147175
서울특별시 송파구 마천1동,37.494783,127.155725
서울특별시 송파구 마천2동,37.500328,127.151458
서울특별시 송파구 방이1동,37.509772,127.122315
서울특별시 송파구 방이2동,37.513255,127.113826
서울특별시 송파구 오륜동,37.517658,127.128508
서울특별시 송파구 오금동,37.50399,127.134399
서울특별시 송파구 송파1동,37.507168,127.110321
서울특별시 송파구 송파2동,37.502836,127.116831
서울특별시 송파구 석촌동,37.502724,127.102462
서울특별시 송파구 삼전동,37.50172,127.091906
서울특별시 송파구 가락본동,37.497217,127.121639
서울특별시 송파구 가락1동,37.495329,127.108235
서울특별시 송파구 가락2동,37.49586,127.130643
서울특별시 송파구 문정1동,37.488173,127.126859
서울특별시 송파구 문정2동,37.480694,127.119136
서울특별시 송파구 잠실본동,37.505507,127.082294
서울특별시 송파구 잠실4동,37.521255,127.108152
서울특별시 송파구 잠실6동,37.519065,127.099982
서울특별시 송파구 잠실7동,37.507481,127.074098
서울특별시 송파구 잠실2동,37.517719,127.078819
서울특별시 송파구 잠실3동,37.513638,127.094319
서울특별시 송파구 장지동,37.482789,127.131629
서울특별시 송파구 위례동,37.481661,127.141243
서울특별시 강동구 상일제2동,37.551956,127.177322
서울특별시 강동구 상일제1동,37.550745,127.164842
서울특별시 강동구 명일1동,37.550371,127.145941
서울특별시 강동구 명일2동,37.548289,127.154205
서울특별시 강동구 고덕1동,37.561653,127.15095
서울특별시 강동구 고덕2동,37.565177,127.162871
서울특별시 강동구 암사2동,37.557381,127.123242
서울특별시 강동구 암사3동,37.561243,127.138575
서울특별시 강동구 천호1동,37.546319,127.138582
서울특별시 강동구 천호3동,37.539654,127.133196
서울특별시 강동구 성내1동,37.528764,127.125519
서울특별시 강동구 성내2동,37.534365,127.127737
서울특별시 강동구 성내3동,37.528404,127.133797
서울특별시 강동구 둔촌1동,37.523145,127.140435
서울특별시 강동구 둔촌2동,37.531514,127.147414
서울특별시 강동구 암사1동,37.551855,127.134586
서울특별시 강동구 천호2동,37.544691,127.122275
서울특별시 강동구 길동,37.539725,127.145907
